тип источника,итерация,время_сек,память_min_mib,память_max_mib,память_avg_mib,успех,ошибка
from_pandas_known_normal,1,0.6988153999845963,124.66796875,137.26171875,133.31009615384616,True,
from_pandas_known_normal_with_cb,1,0.5187109999824315,137.25390625,138.61328125,137.813671875,True,
delayed_known_normal,1,0.6643932000151835,138.61328125,139.22265625,138.78092447916666,True,
delayed_known_normal_with_cb,1,0.5909893999923952,139.22265625,139.3515625,139.2755681818182,True,
delayed_unknown_normal,1,0.8958480999863241,139.3515625,139.87109375,139.445068359375,True,
delayed_unknown_normal_with_cb,1,0.5793630999978632,139.85546875,139.953125,139.89417613636363,True,
from_pandas_known_large_partitions,1,0.34289860000717454,139.953125,140.609375,140.25334821428572,True,
from_pandas_known_large_partitions_with_cb,1,0.31508810000377707,140.58984375,141.015625,140.77845982142858,True,
from_pandas_known_small_partitions,1,1.2857800999772735,141.015625,142.57421875,142.1905184659091,True,
from_pandas_known_small_partitions_with_cb,1,0.9716094000032172,142.55859375,142.69921875,142.61948529411765,True,
