тип источника,мин. время,макс. время,среднее время,мин. потребление памяти,макс. потребление памяти,сред. потребление памяти
from_pandas_known_normal,0.4085690999927465,0.4612199999974109,0.42552697999053635,154.109375,171.90234375,165.8234375
delayed_known_normal,0.4126201999897603,0.4590938000183087,0.43500809999532064,171.0546875,180.94921875,176.94296875
delayed_unknown_normal,0.40847509997547604,0.47517579997656867,0.4444582999974955,180.046875,185.7265625,183.36875
from_pandas_known_large_partitions,0.32137259998125955,0.3586039000074379,0.34965507999877443,234.71484375,278.046875,255.88359375
from_pandas_known_small_partitions,0.3486179999890737,0.3770107999735046,0.36267495999927635,220.7890625,221.16796875,221.0203125
