тип источника,итерация,время_сек,память_min_mib,память_max_mib,память_avg_mib,успех,ошибка
from_pandas_known_normal,1,0.4353406000009272,141.0234375,154.109375,150.37977430555554,True,
from_pandas_known_normal,2,0.41305499998270534,155.63671875,162.9765625,159.3232421875,True,
from_pandas_known_normal,3,0.40945019997889176,159.578125,169.1328125,163.68505859375,True,
from_pandas_known_normal,4,0.4085690999927465,163.33203125,171.90234375,167.51220703125,True,
from_pandas_known_normal,5,0.4612199999974109,164.39453125,170.99609375,167.40104166666666,True,
delayed_known_normal,1,0.4291073999775108,166.7578125,171.0546875,168.57638888888889,True,
delayed_known_normal,2,0.4507386999903247,168.765625,174.17578125,171.28645833333334,True,
delayed_known_normal,3,0.4590938000183087,170.22265625,177.953125,173.44775390625,True,
delayed_known_normal,4,0.4126201999897603,172.59765625,180.94921875,175.53662109375,True,
delayed_known_normal,5,0.42348040000069886,172.9453125,180.58203125,175.86328125,True,
delayed_unknown_normal,1,0.4635673000011593,172.91015625,180.046875,175.890625,True,
delayed_unknown_normal,2,0.47517579997656867,178.53515625,182.65625,179.2587890625,True,
delayed_unknown_normal,3,0.44495510001434013,176.55859375,183.7421875,180.53211805555554,True,
delayed_unknown_normal,4,0.40847509997547604,178.01171875,185.7265625,181.74951171875,True,
delayed_unknown_normal,5,0.4301182000199333,181.10546875,184.671875,182.912109375,True,
from_pandas_known_large_partitions,1,0.32137259998125955,205.69140625,234.71484375,221.55794270833334,True,
from_pandas_known_large_partitions,2,0.3586039000074379,227.66796875,249.9375,240.97209821428572,True,
from_pandas_known_large_partitions,3,0.3575713000027463,237.6328125,256.88671875,246.91238839285714,True,
from_pandas_known_large_partitions,4,0.3582309999910649,239.89453125,278.046875,249.36160714285714,True,
from_pandas_known_large_partitions,5,0.3524966000113636,241.07421875,259.83203125,247.89229910714286,True,
from_pandas_known_small_partitions,1,0.3583002000232227,220.421875,220.7890625,220.63392857142858,True,
from_pandas_known_small_partitions,2,0.35374920000322163,220.828125,221.0078125,220.90736607142858,True,
from_pandas_known_small_partitions,3,0.3486179999890737,221.0078125,221.05078125,221.03348214285714,True,
from_pandas_known_small_partitions,4,0.37569660000735894,221.05078125,221.0859375,221.0712890625,True,
from_pandas_known_small_partitions,5,0.3770107999735046,221.0703125,221.16796875,221.13720703125,True,
