тип источника,итерация,время_сек,память_min_mib,память_max_mib,память_avg_mib,успех,ошибка
from_pandas_known_normal,1,0.3683887000079267,140.91015625,154.7734375,149.83649553571428,True,
from_pandas_known_normal,2,0.3507928000180982,154.73046875,161.953125,158.97321428571428,True,
from_pandas_known_normal,3,0.34378019999712706,159.70703125,167.16796875,163.58928571428572,True,
from_pandas_known_normal,4,0.3745164999854751,162.375,168.87109375,165.07087053571428,True,
from_pandas_known_normal,5,0.3454234999953769,165.56640625,169.234375,167.56194196428572,True,
delayed_known_normal,1,0.42099330000928603,166.4765625,172.0625,167.845703125,True,
delayed_known_normal,2,0.41590009999345057,168.03125,175.640625,170.751953125,True,
delayed_known_normal,3,0.4377029000024777,169.46875,175.265625,172.70399305555554,True,
delayed_known_normal,4,0.4187460000102874,171.41015625,178.734375,174.76806640625,True,
delayed_known_normal,5,0.4185312000045087,172.6328125,180.52734375,176.00537109375,True,
delayed_unknown_normal,1,0.4177721999876667,173.84375,181.11328125,176.14306640625,True,
delayed_unknown_normal,2,0.40206160000525415,175.5390625,183.26171875,178.76708984375,True,
delayed_unknown_normal,3,0.422175799991237,179.90625,185.0703125,181.5634765625,True,
delayed_unknown_normal,4,0.4668705000076443,178.1328125,188.0078125,182.66449652777777,True,
delayed_unknown_normal,5,0.41282319999299943,182.01953125,190.4140625,184.9267578125,True,
from_pandas_known_large_partitions,1,0.33205050000105985,208.1953125,225.12109375,221.79185267857142,True,
from_pandas_known_large_partitions,2,0.34581230001640506,218.640625,234.71875,230.19810267857142,True,
from_pandas_known_large_partitions,3,0.32566050000605173,225.046875,244.67578125,234.46819196428572,True,
from_pandas_known_large_partitions,4,0.31955489999381825,226.9375,243.94921875,237.44010416666666,True,
from_pandas_known_large_partitions,5,0.34870060000685044,232.5703125,248.04296875,238.921875,True,
from_pandas_known_small_partitions,1,0.3467423999973107,212.08203125,212.61328125,212.35435267857142,True,
from_pandas_known_small_partitions,2,0.3505004999751691,212.640625,212.74609375,212.70479910714286,True,
from_pandas_known_small_partitions,3,0.3441647000145167,212.74609375,212.8046875,212.77622767857142,True,
from_pandas_known_small_partitions,4,0.34744069998851046,212.8046875,212.8828125,212.83482142857142,True,
from_pandas_known_small_partitions,5,0.3467081999988295,212.8828125,213.078125,212.93470982142858,True,
