тип источника,мин. время,макс. время,среднее время,мин. потребление памяти,макс. потребление памяти,сред. потребление памяти
from_pandas_known_normal,0.34378019999712706,0.3745164999854751,0.3565803400008008,154.7734375,169.234375,164.4
delayed_known_normal,0.41590009999345057,0.4377029000024777,0.42237470000400207,172.0625,180.52734375,176.44609375
delayed_unknown_normal,0.40206160000525415,0.4668705000076443,0.4243406599969603,181.11328125,190.4140625,185.5734375
from_pandas_known_large_partitions,0.31955489999381825,0.34870060000685044,0.3343557600048371,225.12109375,248.04296875,239.3015625
from_pandas_known_small_partitions,0.3441647000145167,0.3505004999751691,0.3471112999948673,212.61328125,213.078125,212.825
