тип источника,итерация,время_сек,память_min_mib,память_max_mib,память_avg_mib,успех,ошибка
from_pandas_known_normal,1,0.12082280000322498,125.171875,130.390625,128.125,True,
delayed_known_normal,1,0.12361879998934455,130.4296875,131.56640625,131.146484375,True,
delayed_unknown_normal,1,0.1915801000141073,131.6640625,131.9765625,131.83984375,True,
from_pandas_known_large_partitions,1,0.1326685000094585,132.8828125,134.15625,133.7080078125,True,
from_pandas_known_small_partitions,1,0.35309140000026673,132.2421875,136.03125,134.62332589285714,True,
