тип источника,мин. время,макс. время,среднее время,мин. потребление памяти,макс. потребление памяти,сред. потребление памяти
from_pandas_known_normal,0.12030379998032004,0.12030379998032004,0.12030379998032004,129.984375,129.984375,129.984375
delayed_known_normal,0.1182705000101123,0.1182705000101123,0.1182705000101123,131.4296875,131.4296875,131.4296875
delayed_unknown_normal,0.1378283000085503,0.1378283000085503,0.1378283000085503,131.9921875,131.9921875,131.9921875
from_pandas_known_large_partitions,0.113288000022294,0.113288000022294,0.113288000022294,133.9921875,133.9921875,133.9921875
from_pandas_known_small_partitions,nan,nan,nan,nan,nan,nan
