тип источника,итерация,время_сек,память_min_mib,память_max_mib,память_avg_mib,успех,ошибка
from_pandas_known_normal,1,0.09087039998848923,124.3515625,127.8515625,126.29557291666667,True,
delayed_known_normal,1,0.08815230001346208,127.87890625,128.6953125,128.31119791666666,True,
delayed_unknown_normal,1,0.0872314999869559,128.6953125,128.9921875,128.828125,True,
from_pandas_known_large_partitions,1,0.06985780000104569,129.07421875,129.45703125,129.32291666666666,True,
from_pandas_known_small_partitions,1,0.30856890001450665,129.44140625,133.71484375,132.06510416666666,True,
