тип источника,мин. время,макс. время,среднее время,мин. потребление памяти,макс. потребление памяти,сред. потребление памяти
from_pandas_known_normal,0.09087039998848923,0.09087039998848923,0.09087039998848923,127.8515625,127.8515625,127.8515625
delayed_known_normal,0.08815230001346208,0.08815230001346208,0.08815230001346208,128.6953125,128.6953125,128.6953125
delayed_unknown_normal,0.0872314999869559,0.0872314999869559,0.0872314999869559,128.9921875,128.9921875,128.9921875
from_pandas_known_large_partitions,0.06985780000104569,0.06985780000104569,0.06985780000104569,129.45703125,129.45703125,129.45703125
from_pandas_known_small_partitions,0.30856890001450665,0.30856890001450665,0.30856890001450665,133.71484375,133.71484375,133.71484375
