тип источника,мин. время,макс. время,среднее время,мин. потребление памяти,макс. потребление памяти,сред. потребление памяти
from_pandas_known_normal,0.08490580000216141,0.08490580000216141,0.08490580000216141,127.50390625,127.50390625,127.50390625
delayed_known_normal,0.08119950001128018,0.08119950001128018,0.08119950001128018,128.01171875,128.01171875,128.01171875
delayed_unknown_normal,0.08744199998909608,0.08744199998909608,0.08744199998909608,128.55859375,128.55859375,128.55859375
from_pandas_known_large_partitions,0.06131879999884404,0.06131879999884404,0.06131879999884404,129.09765625,129.09765625,129.09765625
from_pandas_known_small_partitions,0.23101849999511614,0.23101849999511614,0.23101849999511614,132.37890625,132.37890625,132.37890625
