тип источника,итерация,время_сек,память_min_mib,память_max_mib,память_avg_mib,успех,ошибка
from_pandas_known_normal,1,0.08490580000216141,124.17578125,127.50390625,126.11588541666667,True,
delayed_known_normal,1,0.08119950001128018,127.52734375,128.01171875,127.80078125,True,
delayed_unknown_normal,1,0.08744199998909608,128.01171875,128.55859375,128.31901041666666,True,
from_pandas_known_large_partitions,1,0.06131879999884404,128.625,129.09765625,128.93359375,True,
from_pandas_known_small_partitions,1,0.23101849999511614,129.078125,132.37890625,131.00703125,True,
